attributes_LONGITUDE,attributes_LATITUDE,attributes_OFFENSE
-77.0686347977,38.9320753503,THEFT F/AUTO
-77.0106474319,38.8737989067,MOTOR VEHICLE THEFT
-77.0668838214,38.9036964278,THEFT F/AUTO
-76.9636265737,38.8757625029,THEFT/OTHER
-77.0013063881,38.8881358686,THEFT/OTHER
-77.0189643099,38.9736098347,THEFT F/AUTO
-77.0296189448,38.8978258475,THEFT/OTHER
-77.0229543277,38.8966708535,THEFT F/AUTO
-77.0213929419,38.9140861821,THEFT/OTHER
-76.9931402028,38.9222166046,THEFT/OTHER
-77.0441787536,38.902525594,THEFT F/AUTO
-76.9781287234,38.8868501563,THEFT/OTHER
-76.9221826825,38.8870442626,MOTOR VEHICLE THEFT
-76.9986005147,38.9098515103,THEFT/OTHER
-77.0501035007,38.9062545531,THEFT F/AUTO
-77.0338912783,38.9878468356,THEFT F/AUTO
-76.9908923061,38.9042045516,THEFT/OTHER
-77.0176347386,38.8778666066,THEFT/OTHER
-77.0777948268,38.9243458828,THEFT/OTHER
-77.0319580558,38.8854665549,THEFT F/AUTO
-77.0005714901,38.9046850503,THEFT/OTHER
-77.0444923089,38.9255930323,THEFT F/AUTO
-77.0348150942,38.9497392707,THEFT F/AUTO
-77.0327355512,38.9316066319,ROBBERY
-76.9815226497,38.8571298381,THEFT/OTHER
-77.0354064875,38.9312504756,THEFT F/AUTO
-76.9781287234,38.8868501563,THEFT/OTHER
-77.0448957542,38.9031335648,ROBBERY
-76.9561517906,38.8963053556,THEFT F/AUTO
-77.063241423,38.9072169383,THEFT F/AUTO
-76.9921887893,38.8446866075,THEFT F/AUTO
-77.0253421609,38.9222917098,THEFT F/AUTO
-76.9820115427,38.902207721,THEFT F/AUTO
-76.9892723737,38.898908852,THEFT F/AUTO
-77.0457731586,38.9025243497,MOTOR VEHICLE THEFT
-77.0035141787,38.9078254892,THEFT/OTHER
-77.0028031789,38.9025148158,ROBBERY
-76.9561517906,38.8963053556,ASSAULT W/DANGEROUS WEAPON
-76.9739720394,38.8635345572,THEFT F/AUTO
-77.0230998871,38.9456911496,THEFT/OTHER
-76.9949651953,38.8868110939,THEFT F/AUTO
-77.000244425,38.9079770622,THEFT/OTHER
-76.9869086226,38.8828390269,ROBBERY
-76.9785221815,38.8573004211,THEFT/OTHER
-77.0687464055,38.9462737099,THEFT/OTHER
-77.0289281743,38.9682712245,THEFT F/AUTO
-76.9874484014,38.8333571936,THEFT F/AUTO
-76.9747707918,38.9234358811,THEFT F/AUTO
-77.007475963,38.9037315487,THEFT F/AUTO
-76.932711419,38.8987906035,THEFT/OTHER
-76.9772797832,38.942326089,BURGLARY
-76.9338381913,38.8752711738,THEFT/OTHER
-76.9336370925,38.9100939143,THEFT/OTHER
-77.0241602707,38.9250253546,ROBBERY
-76.9971570051,38.9209329952,THEFT F/AUTO
-77.0674946949,38.9152318935,THEFT/OTHER
-77.0628222912,38.9056013366,THEFT/OTHER
-76.9582535107,38.9285966968,MOTOR VEHICLE THEFT
-76.9700473788,38.9224055653,THEFT F/AUTO
-76.9528994141,38.9198458716,THEFT/OTHER
-77.0437472858,38.9155740736,THEFT F/AUTO
-76.9855060617,38.8903668918,THEFT/OTHER
-77.0312175115,38.9376054049,THEFT/OTHER
-76.9382560148,38.8997285536,THEFT F/AUTO
-77.0235061999,38.9240905147,THEFT/OTHER
-77.0447514593,38.9213967674,THEFT/OTHER
-76.9244913324,38.8907728544,THEFT F/AUTO
-76.9594686867,38.9262270372,THEFT F/AUTO
-76.9914753084,38.9264986892,THEFT F/AUTO
-77.0343103214,38.9342700259,ROBBERY
-76.9961713123,38.8903700705,THEFT F/AUTO
-77.0013094294,38.8812721241,THEFT/OTHER
-76.9528994141,38.9198458716,MOTOR VEHICLE THEFT
-77.0194173908,38.9025202624,THEFT/OTHER
-76.9954644055,38.8587509285,THEFT/OTHER
-77.0251020575,38.940277387,THEFT/OTHER
-76.9348835673,38.8756929905,THEFT F/AUTO
-77.0027721964,38.9181034816,MOTOR VEHICLE THEFT
-77.0088899643,38.8236013165,ROBBERY
-76.927963498,38.8913323221,ROBBERY
-76.9447889194,38.9001818811,ROBBERY
-76.9883105172,38.8803661907,ASSAULT W/DANGEROUS WEAPON
-77.03554391,38.908700341,THEFT F/AUTO
-77.0104657098,38.8973373671,THEFT F/AUTO
-76.9741764233,38.9014908984,ASSAULT W/DANGEROUS WEAPON
-76.9824602061,38.8999764193,ASSAULT W/DANGEROUS WEAPON
-77.0219165566,38.8991297051,THEFT/OTHER
-76.9535871417,38.8640415251,THEFT F/AUTO
-77.0128459293,38.9169995582,THEFT F/AUTO
-77.0040320988,38.8775304139,THEFT F/AUTO
-76.9378581298,38.8775765591,MOTOR VEHICLE THEFT
-76.9658374354,38.8603125945,MOTOR VEHICLE THEFT
-76.932711419,38.8987906035,MOTOR VEHICLE THEFT
-76.9494762907,38.9024672607,MOTOR VEHICLE THEFT
-77.0309270726,38.9237649373,ASSAULT W/DANGEROUS WEAPON
-77.0241705089,38.9354972411,THEFT/OTHER
-76.9789901053,38.9031097638,ASSAULT W/DANGEROUS WEAPON
-76.9459178177,38.9008701974,ASSAULT W/DANGEROUS WEAPON
-76.9648375369,38.9340955521,ROBBERY
-77.0249787458,38.9126065719,THEFT F/AUTO
-76.9744398632,38.9220394293,THEFT F/AUTO
-77.0224171416,38.9164889632,THEFT/OTHER
-76.932712679,38.9038099716,THEFT/OTHER
-76.9794323764,38.9062031301,THEFT/OTHER
-76.9800776686,38.9206391916,MOTOR VEHICLE THEFT
-77.0241705089,38.9354972411,THEFT/OTHER
-77.0722843227,38.9215117092,THEFT/OTHER
-76.9546328719,38.8865836598,ROBBERY
-77.0234489887,38.8984527896,THEFT F/AUTO
-77.0013186049,38.8943135401,THEFT/OTHER
-76.9902451725,38.8841034977,ROBBERY
-77.0323821148,38.9261503061,THEFT/OTHER
-77.0575782124,38.9050893916,THEFT/OTHER
-76.9271332526,38.8790378277,THEFT/OTHER
-76.9594761766,38.8689186523,THEFT/OTHER
-77.0669984379,38.9533059554,THEFT F/AUTO
-77.0069028318,38.8368603507,THEFT/OTHER
-76.9743792954,38.8573044495,THEFT F/AUTO
-77.0020390941,38.8995581088,ASSAULT W/DANGEROUS WEAPON
-77.0581333771,38.9072633721,THEFT F/AUTO
-77.0364897223,38.9218481636,THEFT/OTHER
-77.0335810498,38.9364876308,ASSAULT W/DANGEROUS WEAPON
-76.9877622314,38.9128577716,ASSAULT W/DANGEROUS WEAPON
-76.9528994141,38.9198458716,THEFT/OTHER
-77.0364439666,38.9391052496,THEFT F/AUTO
-77.012844822,38.9191747995,ROBBERY
-77.0242066905,38.9180686673,THEFT/OTHER
-77.0303208423,38.9072412901,THEFT F/AUTO
-76.9902461199,38.8834726857,THEFT/OTHER
-76.9970384286,38.9328075718,THEFT F/AUTO
-77.0176347386,38.8778666066,THEFT/OTHER
-77.051415835,38.9020472622,THEFT F/AUTO
-77.0234569234,38.9155717108,THEFT F/AUTO
-77.0217214713,38.9274233965,THEFT F/AUTO
-76.9836499516,38.8862378372,THEFT/OTHER
-76.9871384387,38.9077704238,BURGLARY
-77.023015396,38.9530377755,MOTOR VEHICLE THEFT
-77.0017441439,38.8216297021,ROBBERY
-77.0845874445,38.9585338513,BURGLARY
-76.9937231684,38.91265961,BURGLARY
-77.026514333,38.8983152971,THEFT F/AUTO
-77.0288635145,38.8952349608,THEFT/OTHER
-77.097962823,38.9435866043,THEFT F/AUTO
-76.9888712666,38.9117749001,THEFT F/AUTO
-76.9955799354,38.8792834427,THEFT F/AUTO
-76.9319985177,38.8967449316,THEFT F/AUTO
-77.0028020946,38.9013241815,THEFT F/AUTO
-76.9973044524,38.9037277932,MOTOR VEHICLE THEFT
-77.0646402478,38.9461103001,ASSAULT W/DANGEROUS WEAPON
-76.9869131065,38.8898022329,THEFT/OTHER
-76.9338893829,38.8941466129,ASSAULT W/DANGEROUS WEAPON
-77.0716092041,38.9076764892,THEFT/OTHER
-77.0358475471,38.9278656487,THEFT/OTHER
-77.0250014995,38.9025216331,THEFT F/AUTO
-77.0588766912,38.9361950358,THEFT/OTHER
-77.033248575,38.9133520232,THEFT F/AUTO
-76.9995119597,38.8819999505,THEFT/OTHER
-77.0986316994,38.9488012991,THEFT F/AUTO
-76.9835451911,38.9096810032,THEFT/OTHER
-77.0288555757,38.9072421115,THEFT/OTHER
-77.0024096336,38.9037319433,MOTOR VEHICLE THEFT
-77.022641887,38.9354035006,THEFT F/AUTO
-77.0013046493,38.9002045591,MOTOR VEHICLE THEFT
-76.9590577483,38.9210705313,THEFT F/AUTO
-76.960096837,38.9291504511,THEFT F/AUTO
-77.0759956628,38.9383795808,THEFT F/AUTO
-77.070976366,38.9076895776,THEFT/OTHER
-77.0724217259,38.9340623694,MOTOR VEHICLE THEFT
-77.0338114933,38.930634149,MOTOR VEHICLE THEFT
-77.0327298633,38.9295168861,THEFT/OTHER
-76.9473879055,38.8632496003,MOTOR VEHICLE THEFT
-77.0166094249,38.9492986263,THEFT/OTHER
-77.0340792587,38.9274255811,MOTOR VEHICLE THEFT
-77.0189258523,38.9122343135,ROBBERY
-77.0239672442,38.9144578168,THEFT F/AUTO
-77.0280808323,38.904974989,THEFT F/AUTO
-77.0229429721,38.9115433748,ROBBERY
-77.0319532915,38.9144622117,THEFT/OTHER
-77.0232288512,38.9290407293,ROBBERY
-76.9636287941,38.9264284806,BURGLARY
-77.023967263,38.9151999234,THEFT F/AUTO
-77.0264517198,38.9302922894,ROBBERY
-77.0024096336,38.9037319433,ASSAULT W/DANGEROUS WEAPON
-77.0296228388,38.9166421218,ASSAULT W/DANGEROUS WEAPON
-77.0059876474,38.8260536229,THEFT/OTHER
-77.001404167,38.907539879,THEFT/OTHER
-77.0224306478,38.912137304,THEFT/OTHER
-77.023977695,38.9064446244,BURGLARY
-77.0265141995,38.8998169908,THEFT/OTHER
-77.0028140787,38.8748870259,THEFT F/AUTO
-77.027037187,38.9118638266,THEFT F/AUTO
-77.0327298633,38.9295168861,THEFT/OTHER
-77.0810228019,38.9515608227,THEFT/OTHER
-77.031949273,38.9088377657,ASSAULT W/DANGEROUS WEAPON
-77.004353141,38.8770044023,THEFT/OTHER
-76.9724572573,38.897131,THEFT F/AUTO
-77.0073243167,38.9100528057,THEFT/OTHER
-77.0027721964,38.9181034816,THEFT/OTHER
-77.0862080084,38.9500303013,THEFT F/AUTO
-77.0012983904,38.9046860354,THEFT F/AUTO
-77.0434291817,38.9137268528,THEFT/OTHER
-77.0400910561,38.9072414989,THEFT/OTHER
-76.9750736313,38.8973012898,THEFT/OTHER
-76.993201712,38.8846495584,ROBBERY
-76.9639122512,38.8555055907,ROBBERY
-76.9803866148,38.8996151246,ROBBERY
-77.0014458463,38.8250888702,THEFT/OTHER
-77.0067794608,38.8291965087,ASSAULT W/DANGEROUS WEAPON
-76.9937555941,38.9215847053,MOTOR VEHICLE THEFT
-77.0005367901,38.8743343032,THEFT/OTHER
-76.9648375369,38.9340955521,THEFT F/AUTO
-76.978869583,38.869410832,THEFT F/AUTO
-77.0319536026,38.9159286783,THEFT/OTHER
-77.0253101696,38.932877746,THEFT/OTHER
-77.0802982386,38.9492466458,THEFT/OTHER
-77.0939691414,38.9153590868,THEFT/OTHER
-77.0327298633,38.9295168861,THEFT/OTHER
-76.9949599691,38.9019186579,BURGLARY
-77.0135392509,38.91864341,THEFT F/AUTO
-77.0799373128,38.9483570552,THEFT/OTHER
-77.0242066905,38.9180686673,ROBBERY
-77.0621964877,38.9689295564,THEFT/OTHER
-77.0121519766,38.9175548158,THEFT F/AUTO
-77.033639334,38.9287433544,THEFT F/AUTO
-77.0319531449,38.910017227,BURGLARY
-76.9868885503,38.9048808782,BURGLARY
-76.9937555941,38.9215847053,THEFT/OTHER
-76.9636265737,38.8757625029,THEFT/OTHER
-77.0106034249,38.9133436609,THEFT/OTHER
-77.0161782596,38.9007498932,THEFT F/AUTO
-76.9772835297,38.9095716732,THEFT F/AUTO
-77.0693457347,38.9150185732,THEFT/OTHER
-77.0400781818,38.9103880282,THEFT/OTHER
-76.9955786635,38.8775337805,THEFT/OTHER
-77.0811832718,38.9302858242,THEFT F/AUTO
-76.9844786939,38.8967189211,THEFT/OTHER
-77.0239664272,38.9079088435,THEFT/OTHER
-77.0349260767,38.9572816809,THEFT F/AUTO
-76.9355348796,38.8810854334,BURGLARY
-76.9908826078,38.9025104399,MOTOR VEHICLE THEFT
-77.023456121,38.9085743935,THEFT F/AUTO
-77.0288490823,38.8983139331,THEFT/OTHER
-77.0472469275,38.905585522,THEFT F/AUTO
-76.9869062421,38.9001986979,MOTOR VEHICLE THEFT
-77.031216943,38.9386778427,THEFT/OTHER
-76.9343760873,38.9106681632,SEX ABUSE
-77.0275601016,38.916998906,THEFT/OTHER
-76.9937647391,38.8853090282,THEFT F/AUTO
-76.9632198234,38.9258147962,THEFT F/AUTO
-77.022890222,38.9699227819,THEFT F/AUTO
-76.9973076318,38.8989077821,BURGLARY
-76.9943618578,38.8860310868,THEFT/OTHER
-77.0332415107,38.9169967973,THEFT F/AUTO
-77.0400766367,38.9111266227,THEFT F/AUTO
-77.0731882853,38.9254391356,THEFT/OTHER
-76.9800776686,38.9206391916,MOTOR VEHICLE THEFT
-76.9741770324,38.9389787746,THEFT F/AUTO
-77.0065456205,38.9166362345,MOTOR VEHICLE THEFT
-77.0332543288,38.9083815792,THEFT/OTHER
-77.0239674441,38.9133369095,THEFT F/AUTO
-77.0024166403,38.9438003162,THEFT F/AUTO
-76.9867739886,38.879813272,THEFT/OTHER
-77.0239664272,38.9079088435,THEFT/OTHER
-77.0259863348,38.9049076407,THEFT/OTHER
-77.0081591409,38.9549721196,ROBBERY
-76.9954644055,38.8587509285,ASSAULT W/DANGEROUS WEAPON
-76.994359571,38.8266164366,THEFT F/AUTO
-77.0624008859,38.9092722843,THEFT F/AUTO
-77.0307884596,38.9037374601,THEFT F/AUTO
-77.0602174055,38.9076489549,THEFT F/AUTO
-76.964413194,38.9246569663,THEFT/OTHER
-77.06277646,38.9036984368,THEFT F/AUTO
-77.0005341094,38.8748869988,MOTOR VEHICLE THEFT
-77.0044727163,38.9056436347,THEFT F/AUTO
-77.0279498335,38.9619795615,ASSAULT W/DANGEROUS WEAPON
-76.9953197316,38.8920180311,THEFT/OTHER
-77.025737247,38.969279362,THEFT F/AUTO
-77.014324859,38.9748378665,THEFT F/AUTO
-77.044180238,38.9004549325,THEFT/OTHER
-77.0275560083,38.9013315051,THEFT F/AUTO
-76.9800011896,38.9281299557,MOTOR VEHICLE THEFT
-77.0218983709,38.9183749555,THEFT/OTHER
-76.9913069259,38.9227834663,THEFT F/AUTO
-76.9741738746,38.8978310369,MOTOR VEHICLE THEFT
-76.9759548322,38.9130221422,MOTOR VEHICLE THEFT
-76.9332322436,38.9060685737,THEFT/OTHER
-77.0319511026,38.9175550432,THEFT/OTHER
-76.992579017,38.9182562402,MOTOR VEHICLE THEFT
-76.9824602061,38.8999764193,ASSAULT W/DANGEROUS WEAPON
-76.9909612951,38.9320429051,THEFT F/AUTO
-76.9626072696,38.8719228039,THEFT F/AUTO
-77.0151831847,38.909105362,BURGLARY
-77.0219169019,38.9103842884,BURGLARY
-77.023966461,38.8994314429,THEFT/OTHER
-76.9617373155,38.8698432706,THEFT/OTHER
-76.927965642,38.890272882,THEFT/OTHER
-76.9824602061,38.8999764193,THEFT/OTHER
-77.0275598648,38.9056440731,THEFT/OTHER
-77.0731728595,38.9059108751,MOTOR VEHICLE THEFT
-77.0021628216,38.862550476,MOTOR VEHICLE THEFT
-76.9340669086,38.896890071,THEFT F/AUTO
-76.9617373155,38.8698432706,THEFT/OTHER
-77.0591717505,38.9056419784,THEFT F/AUTO
-77.0380762429,38.9067032936,MOTOR VEHICLE THEFT
-77.0853322335,38.9142305726,THEFT F/AUTO
-76.9827155922,38.9164774036,BURGLARY
-76.924650285,38.9028446705,THEFT/OTHER
-77.0234624657,38.9008737835,THEFT/OTHER
-77.0209061,38.9041653812,MOTOR VEHICLE THEFT
-77.0063850147,38.9155647023,THEFT/OTHER
-77.0288492638,38.90132813,THEFT F/AUTO
-77.0425195927,38.9064533107,THEFT F/AUTO
-77.0442308541,38.9079031095,THEFT F/AUTO
-76.9989793684,38.8947864823,ROBBERY
-76.9826381566,38.879153421,THEFT/OTHER
-77.027033579,38.9175549331,THEFT F/AUTO
-77.0434476851,38.9060563317,THEFT F/AUTO
-77.0537223651,38.9273285696,THEFT/OTHER
-77.0038613959,38.8408694412,ROBBERY
-77.006290959,38.8395147958,THEFT/OTHER
-77.0000435883,38.9191782981,THEFT F/AUTO
-77.0505313184,38.9029557805,THEFT F/AUTO
-77.0063424976,38.82126524,MOTOR VEHICLE THEFT
-77.0194120073,38.9111215236,THEFT F/AUTO
-77.0209230612,38.8751272411,THEFT/OTHER
-77.00903601,38.926249661,ASSAULT W/DANGEROUS WEAPON
-76.9617373155,38.8698432706,THEFT/OTHER
-77.0308687456,38.9342127018,THEFT/OTHER
-77.063338419,38.934650572,THEFT F/AUTO
-77.0254260409,38.9191801261,THEFT/OTHER
-76.9250209139,38.8845568031,THEFT F/AUTO
-77.021548524,38.9161135692,THEFT/OTHER
-76.9881990844,38.9234859329,MOTOR VEHICLE THEFT
-77.0319509248,38.9166434001,THEFT/OTHER
-76.9815533837,38.8465377272,MOTOR VEHICLE THEFT
-77.0477444583,38.9016990258,THEFT/OTHER
-77.0242066905,38.9180686673,THEFT F/AUTO
-77.0074772164,38.9046900373,THEFT F/AUTO
-77.085288276,38.9599119666,THEFT/OTHER
-76.9859473105,38.8990983956,THEFT/OTHER
-76.9746896712,38.8947762469,THEFT F/AUTO
-76.9979213989,38.8262303093,THEFT F/AUTO
-77.0219893079,38.9204764909,ROBBERY
-77.0259863348,38.9049076407,THEFT/OTHER
-76.9200487035,38.8897508307,MOTOR VEHICLE THEFT
-77.0242053447,38.9620068809,ASSAULT W/DANGEROUS WEAPON
-77.0327298633,38.9295168861,THEFT F/AUTO
-76.9835709381,38.9155329133,THEFT F/AUTO
-77.0182482635,38.9177958965,THEFT/OTHER
-76.9968136144,38.8458584309,THEFT/OTHER
-77.0327298633,38.9295168861,MOTOR VEHICLE THEFT
-76.9815533837,38.8465377272,THEFT/OTHER
-77.066935739,38.9050883689,MOTOR VEHICLE THEFT
-76.9883169405,38.8882963614,MOTOR VEHICLE THEFT
-77.0239448173,38.9173767915,THEFT F/AUTO
-77.0288490823,38.8983139331,THEFT/OTHER
-76.9343760873,38.9106681632,MOTOR VEHICLE THEFT
-77.0189262831,38.9103815681,THEFT F/AUTO
-76.9850593418,38.8581915366,ASSAULT W/DANGEROUS WEAPON
-77.0296233564,38.9042855592,THEFT F/AUTO
-77.0364853732,38.9255188753,THEFT F/AUTO
-77.053295048,38.904446516,ASSAULT W/DANGEROUS WEAPON
-77.0957816153,38.945126307,THEFT F/AUTO
-77.0240062317,38.904908695,THEFT F/AUTO
-77.000927151,38.8775268765,ASSAULT W/DANGEROUS WEAPON
-77.0270360333,38.9079079032,ROBBERY
-76.9676370248,38.85947761,THEFT/OTHER
-77.0399279894,38.9279693628,THEFT/OTHER
-77.0033001635,38.8347414278,ASSAULT W/DANGEROUS WEAPON
-76.9931402028,38.9222166046,THEFT/OTHER
-76.9528994141,38.9198458716,THEFT/OTHER
-76.9563814159,38.8851889275,MOTOR VEHICLE THEFT
-76.922489524,38.9007154812,MOTOR VEHICLE THEFT
-76.9676370248,38.85947761,THEFT/OTHER
-77.0296222242,38.8990606228,THEFT/OTHER
-77.0285261423,38.9100262214,THEFT F/AUTO
-77.0653443342,38.9473144061,THEFT/OTHER
-77.0131214227,38.9133439458,THEFT F/AUTO
-76.9476475094,38.8966558827,ROBBERY
-76.991793607,38.8624144572,THEFT F/AUTO
-77.0710479911,38.9386212326,THEFT F/AUTO
-76.9955642497,38.8989101612,THEFT F/AUTO
-77.0319518232,38.9186485641,THEFT/OTHER
-77.0149269258,38.9500912211,THEFT/OTHER
-76.9984500666,38.8985193623,MOTOR VEHICLE THEFT
-76.9855070981,38.8892369715,THEFT/OTHER
-77.0265141995,38.8998169908,THEFT/OTHER
-77.0259863348,38.9049076407,THEFT/OTHER
-77.0050157617,38.8764812582,MOTOR VEHICLE THEFT
-77.0307853973,38.9118680339,THEFT F/AUTO
-77.0276535855,38.9534936698,MOTOR VEHICLE THEFT
-77.0022613619,38.8466694137,THEFT/OTHER
-77.024583415,38.938148387,THEFT/OTHER
-76.943596739,38.8908821948,MOTOR VEHICLE THEFT
-76.9995323037,38.8292044165,THEFT/OTHER
-76.9955705409,38.9294075201,THEFT F/AUTO
-77.0106188799,38.9002074169,THEFT F/AUTO
-76.9848386913,38.8547191863,THEFT F/AUTO
-77.0146320357,38.9050198767,BURGLARY
-77.073618699,38.9615466978,MOTOR VEHICLE THEFT
-77.0245692132,38.8838828674,THEFT F/AUTO
-77.0017526732,38.8346309605,MOTOR VEHICLE THEFT
-76.9931402028,38.9222166046,THEFT/OTHER
-77.0375066283,38.9096429011,THEFT F/AUTO
-77.0249751364,38.9072382311,THEFT/OTHER
-76.9815533837,38.8465377272,THEFT/OTHER
-76.9417934949,38.8926088954,THEFT F/AUTO
-77.083543312,38.9564890953,THEFT F/AUTO
-76.9242796308,38.9038739945,THEFT F/AUTO
-76.9973093577,38.9265021221,MOTOR VEHICLE THEFT
-76.9509711286,38.8926800402,ROBBERY
-77.0429515198,38.9178191551,THEFT F/AUTO
-77.0045078189,38.8330168973,THEFT/OTHER
-76.9884242906,38.8541724053,THEFT F/AUTO
-77.0251699236,38.9319018165,THEFT/OTHER
-77.0692637984,38.9131667778,THEFT F/AUTO
-77.0261881147,38.934486976,THEFT/OTHER
-77.0090509011,38.9100071926,THEFT/OTHER
-77.0319518232,38.9186485641,THEFT/OTHER
-77.0414342962,38.9168872505,MOTOR VEHICLE THEFT
-77.0773629933,38.9362926319,ASSAULT W/DANGEROUS WEAPON
-77.0205438292,38.9164572379,THEFT F/AUTO
-77.0074758356,38.9025157814,MOTOR VEHICLE THEFT
-77.0681648844,38.9162259346,THEFT/OTHER
-76.9899986822,38.890376101,THEFT F/AUTO
-77.0319518232,38.9186485641,THEFT/OTHER
-76.9210690974,38.8868794728,THEFT F/AUTO
-77.002036823,38.8967283123,THEFT F/AUTO
-77.046302846,38.9154096776,THEFT F/AUTO
-76.9893593154,38.9265936435,THEFT F/AUTO
-77.0569050876,38.9008222833,THEFT F/AUTO
-76.9528994141,38.9198458716,THEFT F/AUTO
-77.0549549553,38.8997743736,THEFT F/AUTO
-77.0044727163,38.9056436347,THEFT F/AUTO
-77.037264042,38.9069941647,THEFT/OTHER
-77.0477025323,38.9196841082,THEFT/OTHER
-77.0058177053,38.916996336,THEFT F/AUTO
-76.9941948591,38.8348859806,ASSAULT W/DANGEROUS WEAPON
-77.0768135791,38.9390328683,THEFT F/AUTO
-77.0279498335,38.9619795615,THEFT/OTHER
-77.033077481,38.9037382218,THEFT F/AUTO
-77.0259848457,38.8961330499,THEFT/OTHER
-76.9926015578,38.8425309424,THEFT F/AUTO
-77.0345931223,38.9019267972,MOTOR VEHICLE THEFT
-77.0955525376,38.9403196699,THEFT F/AUTO
-77.0412984333,38.921616941,THEFT F/AUTO
-77.0639958956,38.9051510928,THEFT/OTHER
-76.9803866148,38.8996151246,THEFT/OTHER
-77.0106462302,38.8277881418,THEFT F/AUTO
-77.0229429721,38.9115433748,THEFT F/AUTO
-77.0976329419,38.919179851,THEFT F/AUTO
-76.988150826,38.8314639672,ROBBERY
-76.9311626569,38.8985259362,THEFT/OTHER
-76.9797291419,38.9345870631,THEFT F/AUTO
-77.001404167,38.907539879,THEFT F/AUTO
-76.9867930894,38.9534540356,BURGLARY
-76.9955287309,38.8558466728,ROBBERY
-77.0384829238,38.9129805342,THEFT/OTHER
-76.9949741689,38.8832309303,THEFT/OTHER
-76.9695721914,38.9277201697,THEFT/OTHER
-77.0259863348,38.9049076407,THEFT/OTHER
-76.9385860009,38.8911251955,ROBBERY
-77.0698443228,38.9526997447,THEFT F/AUTO
-77.0849981146,38.9439621264,THEFT F/AUTO
-76.9848950453,38.9077387162,ROBBERY
-77.0239672442,38.9144578168,THEFT F/AUTO
-76.9790059579,38.8672659548,THEFT F/AUTO
-76.9675340373,38.8600550644,THEFT/OTHER
-76.9820115427,38.902207721,THEFT/OTHER
-76.9117440124,38.8943248135,THEFT/OTHER
-77.0259910581,38.9175538183,THEFT F/AUTO
-77.0264921407,38.9804170595,THEFT F/AUTO
-77.0284940266,38.9352662852,THEFT/OTHER
-77.004353141,38.8770044023,THEFT/OTHER
-76.9869086226,38.8828390269,THEFT/OTHER
-77.0280890665,38.9115392782,THEFT F/AUTO
-77.0074772164,38.9046900373,MOTOR VEHICLE THEFT
-77.022392747,38.9232611572,THEFT F/AUTO
-77.0229435682,38.9148300665,THEFT F/AUTO
-77.0280813651,38.9162852319,THEFT F/AUTO
-77.033639334,38.9287433544,MOTOR VEHICLE THEFT
-77.0005367901,38.8743343032,MOTOR VEHICLE THEFT
-77.0058854763,38.906841232,ROBBERY
-76.9815003844,38.8707443586,THEFT F/AUTO
-77.0442308541,38.9079031095,THEFT F/AUTO
-77.0028140787,38.8748870259,THEFT F/AUTO
-77.035027754,38.9186100277,BURGLARY
-77.0398143875,38.9056539621,BURGLARY
-77.0058844882,38.9060439932,MOTOR VEHICLE THEFT
-77.0259863348,38.9049076407,THEFT/OTHER
-76.9903059701,38.9201570109,ROBBERY
-76.9696202304,38.9208048561,THEFT F/AUTO
-77.0448920773,38.9064503513,THEFT F/AUTO
-77.0570544042,38.9064745024,ROBBERY
-77.0268715256,38.9287653752,ROBBERY
-77.0239679639,38.9155699857,THEFT F/AUTO
-77.0449027348,38.904699304,BURGLARY
-77.0017441439,38.8216297021,ROBBERY
